AUÑON,GUADALAJARA,-2.7796839611875,40.49767581125,16
AVION,OURENSE,-8.2755856090625,42.3964213475,32
AYLLON,SEGOVIA,-3.36474296975,41.3922986075,32
AYOO DE VIDRIALES,ZAMORA,-6.07626408433333,42.12068271,6
AZUQUECA DE HENARES,GUADALAJARA,-3.2634700115,40.54594553,6
BAIONA,PONTEVEDRA,-8.84226245781177,42.1107683922353,85
BALBOA,LEON,-6.93157194545,42.711868264,20
BALEIRA,LUGO,-7.19647802174194,43.0063207364516,31
BALLESTEROS DE CALATRAVA,CIUDAD REAL,-3.94316724931579,38.8249993563158,19
BALTAR,OURENSE,-7.73929273503704,41.9387691848148,27
BAÑA A,A CORUÑA,-8.73774031328571,42.9538474945714,35
BANDE,OURENSE,-7.96890011830769,42.0157971246154,39
BAÑEZA LA,LEON,-5.90324427308965,42.2956347742759,145
BAÑOS DE MOLGAS,OURENSE,-7.68320022542857,42.2270803185714,35
BAÑOS DE TAJO,GUADALAJARA,-1.97189468,40.71690985,1
BARALLA,LUGO,-7.26576682846154,42.9005056312308,65
BARBADAS,OURENSE,-7.88947159150848,42.3119454025424,59
BARBOLLA,SEGOVIA,-3.65847828058333,41.3057588375,12
BARCO DE VALDEORRAS O,OURENSE,-6.98536740838346,42.4162231268421,133
BARGAS,TOLEDO,-4.07400657909524,39.9631799807143,42
BARJAS,LEON,-6.97788112925,42.6082190475,12
BARRIOPEDRO,GUADALAJARA,-2.751989359,40.78839498,1
BARRIOS DE LUNA LOS,LEON,-5.86209983808333,42.8538246883333,24
BARRO,PONTEVEDRA,-8.65123088067949,42.5204255144872,78
BASARDILLA,SEGOVIA,-4.01477865616667,41.0200838033333,6
BASCUÑANA DE SAN PEDRO,CUENCA,-2.23694467066667,40.2016139633333,3
BEADE,OURENSE,-8.12684723028571,42.3293464857143,7
BEAMUD,CUENCA,-1.8214802865,40.184853795,2
BEARIZ,OURENSE,-8.28461494733333,42.4800159405556,18
BECERREA,LUGO,-7.15195855771429,42.869874111039,77
BELMONTE DE TAJO,MADRID,-3.3357011298421,40.1348308673684,19
BEMBIBRE,LEON,-6.43132718519091,42.6209561442727,110
BENAVIDES,LEON,-5.90705106783333,42.510880398,30
BENUZA,LEON,-6.671841858,42.414941365,2
BERCIAL,SEGOVIA,-4.43052335342857,40.9044200028571,7
BERCIANOS DEL PARAMO,LEON,-5.68939809821739,42.353536803913,23
BERCIMUEL,SEGOVIA,-3.573531322,41.40105049,2
BERGONDO,A CORUÑA,-8.25373056465672,43.3081607385821,134
BERLANGA DEL BIERZO,LEON,-6.583000753,42.7343805557143,7
BERNARDOS,SEGOVIA,-4.34221004970833,41.1415803720833,24
BERNINCHES,GUADALAJARA,-2.834505773,40.55647118,4
BERNUY DE PORREROS,SEGOVIA,-4.116979115,40.9989114114286,14
BETANZOS,A CORUÑA,-8.21784900997561,43.2761166618699,123
BIENSERVIDA,ALBACETE,-2.63585934205882,38.5368610370588,17
BLANCOS OS,OURENSE,-7.75239732837931,41.9877402055172,29
BOBORAS,OURENSE,-8.16523900485965,42.4389610931579,57
BOCEGUILLAS,SEGOVIA,-3.62725448289474,41.3327080715789,19
BOIMORTO,A CORUÑA,-8.13769916785417,43.0107600133333,48
BOIRO,A CORUÑA,-8.88111561813187,42.6492568022527,182
BOLA A,OURENSE,-7.90220318313333,42.146080372,30
BOLAÑOS DE CALATRAVA,CIUDAD REAL,-3.65380947010106,38.9150619513298,188
BOLO O,OURENSE,-7.11262671528,42.2978150196,25
BONICHES,CUENCA,-1.61285648725,39.98084968,4
BOQUEIXON,A CORUÑA,-8.45483961467272,42.8242694905455,55
BOROX,TOLEDO,-3.71129975662857,40.0517798681429,140
BORRENES,LEON,-6.731027851,42.4860352266667,9
BOVEDA,LUGO,-7.49098660412195,42.6358274956098,41
BRAZATORTAS,CIUDAD REAL,-4.31932155935593,38.6250667174576,59
