ASTURIANOS,ZAMORA,-6.46765222222222,42.0532333333333,9,0,0
ATANZON,GUADALAJARA,-2.99919,40.6666,1,0,0
AUNYON,GUADALAJARA,-2.780748,40.49658,5,0,0
AVION,OURENSE,-8.27513821428571,42.397025,28,0,0
AYLLON,SEGOVIA,-3.3716319047619,41.3982476190476,21,0,0
AYOO DE VIDRIALES,ZAMORA,-6.06796333333333,42.119,3,0,0
BAIONA,PONTEVEDRA,-8.83933575342466,42.1109602739726,73,0,0
BALBOA,LEON,-6.93179789473684,42.7126842105263,19,0,0
BALEIRA,LUGO,-7.193807,43.0057333333333,30,0,0
BALLESTEROS DE CALATRAVA,CIUDAD REAL,-3.938325,38.842825,4,0,0
BALTAR,OURENSE,-7.74140045454546,41.9376818181818,22,0,0
BANDE,OURENSE,-7.96899657894737,42.0161894736842,38,0,0
BANYA A,A CORUNYA,-8.73748029411765,42.9534882352941,34,0,0
BANYEZA LA,LEON,-5.9029404040404,42.2974818181818,99,0,0
BANYOS DE MOLGAS,OURENSE,-7.68798833333333,42.22754,30,0,0
BANYOS DE TAJO,GUADALAJARA,-1.97189,40.7169,1,0,0
BARALLA,LUGO,-7.26476872727273,42.8997963636364,55,0,0
BARBADAS,OURENSE,-7.8895512962963,42.3122259259259,54,0,0
BARBOLLA,SEGOVIA,-3.6615875,41.31235,4,0,0
BARCO DE VALDEORRAS O,OURENSE,-6.9855417948718,42.4162170940171,117,0,0
BARJAS,LEON,-6.97788083333333,42.6082166666667,12,0,0
BARRIOPEDRO,GUADALAJARA,-2.75199,40.7884,1,0,0
BARRIOS DE LUNA LOS,LEON,-5.8544925,42.8441666666667,12,0,0
BARRO,PONTEVEDRA,-8.64987948275862,42.5235448275862,58,0,0
BASARDILLA,SEGOVIA,-4.025065,41.0282,4,0,0
BASCUNYANA DE SAN PEDRO,CUENCA,-2.22885,40.2118,1,0,0
BEADE,OURENSE,-8.128686,42.33048,5,0,0
BEAMUD,CUENCA,-1.82831,40.1853,1,0,0
BEARIZ,OURENSE,-8.28170461538461,42.4846538461538,13,0,0
BECERREA,LUGO,-7.1502109375,42.87154375,64,0,0
BELMONTE DE TAJO,MADRID,-3.33598272727273,40.1319454545454,11,0,0
BEMBIBRE,LEON,-6.42947324675325,42.6202428571429,77,0,0
BENAVIDES,LEON,-5.9106555,42.51322,20,0,0
